id,title,subtitle,authors,publisher,publishedDate,description,pageCount,categories,language,averageRating,ratingsCount,previewLink,buyLink,mainCategory,imagem
FqK0DgAAQBAJ,METEOROLOGY,,Aristotle,右灰文化傳播有限公司可提供下載列印,2017-04-20,"�WE have already discussed the first causes of nature, and all natural motion, also the stars ordered in the motion of the heavens, and the physical element-enumerating and specifying them and showing how they change into one another-and becoming and perishing in general. There remains for consideration a part of this inquiry which all our predecessors called meteorology. It is concerned with events that are natural, though their order is less perfect than that of the first of the elements of bodies. They take place in the region nearest to the motion of the stars. Such are the milky way, and comets, and the movements of meteors. It studies also all the affections we may call common to air and water, and the kinds and parts of the earth and the affections of its parts. These throw light on the causes of winds and earthquakes and all the consequences the motions of these kinds and parts involve. Of these things some puzzle us, while others admit of explanation in some degree. Further, the inquiry is concerned with the falling of thunderbolts and with whirlwinds and fire-winds, and further, the recurrent affections produced in these same bodies by concretion. When the inquiry into these matters is concluded let us consider what account we can give, in accordance with the method we have followed, of animals and plants, both generally and in detail. When that has been done we may say that the whole of our original undertaking will have been carried out.�",166.0,Philosophy,en,,,http://books.google.com.br/books?id=FqK0DgAAQBAJ&printsec=frontcover&dq=subject:History&hl=&as_pt=BOOKS&cd=10&source=gbs_api,https://play.google.com/store/books/details?id=FqK0DgAAQBAJ&rdid=book-FqK0DgAAQBAJ&rdot=1&source=gbs_api,History,http://books.google.com/books/content?id=FqK0DgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1ROJDwAAQBAJ,Redrawing the Middle East,"Sir Mark Sykes, Imperialism and the Sykes-Picot Agreement",Michael D. Berdine,Bloomsbury Publishing,2018-03-30,"The Sykes-Picot Agreement was one of the defining moments in the history of the modern Middle East. Yet its co-creator, Sir Mark Sykes, had far more involvement in British Middle East strategy during World War I than the Agreement for which he is now most remembered. Between 1915 and 1916, Sykes was Lord Kitchener's agent at home and abroad, operating out of the War Office until the war secretary's death at sea in 1916. Following that, from 1916 to 1919 he worked at the Imperial War Cabinet, the War Cabinet Secretariat and, finally, as an advisor to the Foreign Office. The full extent of Sykes's work and influence has previously not been told. Moreover, the general impression given of him is at variance with the facts. Sykes led the negotiations with the Zionist leadership in the formulation of the Balfour Declaration, which he helped to write, and promoted their cause to achieve what he sought for a pro-British post-war Middle East peace settlement, although he was not himself a Zionist. Likewise, despite claims he championed the Arab cause, there is little proof of this other than general rhetoric mainly for public consumption. On the contrary, there is much evidence he routinely exhibited a complete lack of empathy with the Arabs. In this book, Michael Berdine examines the life of this impulsive and headstrong young British aristocrat who helped formulate many of Britain's policies in the Middle East that are responsible for much of the instability that has affected the region ever since.",344.0,Biography & Autobiography,en,,,http://books.google.com.br/books?id=1ROJDwAAQBAJ&printsec=frontcover&dq=subject:History&hl=&as_pt=BOOKS&cd=41&source=gbs_api,https://play.google.com/store/books/details?id=1ROJDwAAQBAJ&rdid=book-1ROJDwAAQBAJ&rdot=1&source=gbs_api,History,http://books.google.com/books/content?id=1ROJDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
aeUOzgEACAAJ,The Art of War Annotated,,Sun Tzu,,2020-11-25,"The Art of War is a Chinese military treatise that was written during the 6th century BC by Sun Tzu. Composed of 13 chapters, each of which is devoted to one aspect of warfare, it has long been praised as the definitive work on military strategies and tactics of its time.The Art of War is one of the oldest books on military strategy in the world. It is the first and one of the most successful works on strategy and has had a huge influence on Eastern and Western military thinking, business tactics, and beyond. Sun Tzu was the first to recognize the importance of positioning in strategy and that position is affected both by objective conditions in the physical environment and the subjective opinions of competitive actors in that environment. He taught that strategy was not planning in the sense of working through a to-do list, but rather that it requires quick and appropriate responses to changing conditions. Planning works in a controlled environment, but in a competitive environment,",64.0,,en,,,http://books.google.com.br/books?id=aeUOzgEACAAJ&dq=subject:History&hl=&as_pt=BOOKS&cd=42&source=gbs_api,,History,http://books.google.com/books/content?id=aeUOzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
uaPXAAAAMAAJ,Ancient Egyptian Religion,An Interpretation,Henri Frankfort,HarperCollins Publishers,1961,"Fascinating study finds underlying unity in Egyptian religions--the concept of the changeless. Relation of religion to Egyptian society, government, art, more. 32 halftones.",204.0,History,en,,,http://books.google.com.br/books?id=uaPXAAAAMAAJ&dq=subject:History&hl=&as_pt=BOOKS&cd=43&source=gbs_api,,History,http://books.google.com/books/content?id=uaPXAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
HAg3AgAAQBAJ,The World's Religions,,"Peter Clarke, Friedhelm Hardy, Leslie Houlden, Stewart Sutherland",Routledge,2004-01-14,"* Gives an account of the history, the theological basis, the practice and the current state of the study of religion and religions throughout the world * Combines a clear and non-technical style of presentation with a structure and range of contributions which reflect the richness and complexity of religion itself, of the religions of the world and the study of religions * Comprehensive index, bibliographies and suggestions for further reading `Intriguing philosophical questions are raised about the nature of religion and the qualities needed for studying it.' - Times Higher Education Supplement `Excellent book ... remarkably successful, impressive as much for the sheer scale of the undertaking as for its consistent standard of analysis. It is a fine achievement which will serve both as a very suitable textbook for students and a reliable guide to the state of scholarship in the History and Study of Religions.' - Heythrop Journal",1010.0,Reference,en,,,http://books.google.com.br/books?id=HAg3AgAAQBAJ&printsec=frontcover&dq=subject:History&hl=&as_pt=BOOKS&cd=44&source=gbs_api,,History,http://books.google.com/books/content?id=HAg3AgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
mHCMDAEACAAJ,Euthydemus,,Plato,Createspace Independent Publishing Platform,2016-06-25,"The Euthydemus, though apt to be regarded by us only as an elaborate jest, has also a very serious purpose. It may fairly claim to be the oldest treatise on logic; for that science originates in the misunderstandings which necessarily accompany the first efforts of speculation. Translated by B. Jowett. Notice: This Book is published by Historical Books Limited (www.publicdomain.org.uk) as a Public Domain Book, if you have any inquiries, requests or need any help you can just send an email to publications@publicdomain.org.uk This book is found as a public domain and free book based on various online catalogs, if you think there are any problems regard copyright issues please contact us immediately via DMCA@publicdomain.org.uk",86.0,,en,,,http://books.google.com.br/books?id=mHCMDAEACAAJ&dq=subject:History&hl=&as_pt=BOOKS&cd=45&source=gbs_api,,History,http://books.google.com/books/content?id=mHCMDAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1K1-Wwz_TvgC,History and Memory,,Jacques Le Goff,Columbia University Press,1992,"""In this brilliant meditation on the varying conceptions of history, Jacques Le Goff, one of the leading members of the French ""Annales"" school, examines the oppositions between past and present, ancient and modern as well as the various continuities in the evolutions of the historical spirit."" ""Clearly written, broad-ranging, and richly allusive, History and Memory is a provocative book that will inspire a better understanding of historical work and provide an overview of the ""new history"" that has revolutionized historical studies over the post half century. Le Goff has written a new preface for the English language edition, which examines recent trends in historiography.""--Jacket.",300.0,History,en,,,http://books.google.com.br/books?id=1K1-Wwz_TvgC&dq=subject:History&hl=&as_pt=BOOKS&cd=46&source=gbs_api,,History,http://books.google.com/books/content?id=1K1-Wwz_TvgC&printsec=frontcover&img=1&zoom=1&source=gbs_api
_hN1EAAAQBAJ,Hitler's Gift,The True Story of the Scientists Expelled by the Nazi Regime,"Jean Medawar, David Pyke",Skyhorse,2012-01-12,"Between 1901 and 1932, Germany won a third of all the Nobel Prizes for science. With Hitler's rise to power and the introduction of racial laws, starting with the exclusion of all Jews from state institutions, Jewish professors were forced to leave their jobs, which closed the door on Germany’s fifty-year record of world supremacy in science. Of these more than 1,500 refugees, fifteen went on to win Nobel Prizes, several co-discovered penicillin—and more of them became the driving force behind the atomic bomb project. In this revelatory book, Jean Medawar and David Pyke tell countless gripping individual stories of emigration, rescue, and escape, including those of Albert Einstein, Fritz Haber, Leo Szilard, and many others. Much of this material was collected through interviews with more than twenty of the surviving refugee scholars, so as to document for history the steps taken after Hitler’s policy was enacted. As one refugee scholar wrote, “Far from destroying the spirit of German scholarship, the Nazis had spread it all over the world. Only Germany was to be the loser.” Hitler’s Gift is the story of the men who were forced from their homeland and went on to revolutionize many of the scientific practices that we rely on today. Experience firsthand the stories of these geniuses, and learn not only how their deportation affected them, but how it bettered the world that we live in today.",278.0,History,en,,,http://books.google.com.br/books?id=_hN1EAAAQBAJ&printsec=frontcover&dq=subject:History&hl=&as_pt=BOOKS&cd=47&source=gbs_api,https://play.google.com/store/books/details?id=_hN1EAAAQBAJ&rdid=book-_hN1EAAAQBAJ&rdot=1&source=gbs_api,History,http://books.google.com/books/content?id=_hN1EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
3QTXAQAAQBAJ,The Gods of Ancient Rome,Religion in Everyday Life from Archaic to Imperial Times,Robert Turcan,Routledge,2013-10-28,"First published in 2001. This is a vivid account of what their gods meant to the Romans from archaic times to late antiquity, and an exploration of the rites and rituals connected to them. After an extensive introduction into the nature of classical religion, the book is divided into three pain main parts: religions of the family and land; religions of the city; and religions of the empire. The book ends with the rise and impact Christianity. Using archaeological and epigraphic evidence, and drawling extensively on a wide range of relevant literary material, this book is ideally suited for undergraduate courses in the history of Rome and its religions. Its urbane style and lightly worn scholarship will broaden its appeal to the large number of non-academic readers with a serious interest in the classical world.",204.0,Religion,en,,,http://books.google.com.br/books?id=3QTXAQAAQBAJ&printsec=frontcover&dq=subject:History&hl=&as_pt=BOOKS&cd=48&source=gbs_api,https://play.google.com/store/books/details?id=3QTXAQAAQBAJ&rdid=book-3QTXAQAAQBAJ&rdot=1&source=gbs_api,History,http://books.google.com/books/content?id=3QTXAQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
qCdrjwEACAAJ,Much Adoe about Nothing,,"William Shakespeare, Charles Praetorius",Palala Press,2015-11-20,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work.This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",88.0,,en,,,http://books.google.com.br/books?id=qCdrjwEACAAJ&dq=subject:History&hl=&as_pt=BOOKS&cd=49&source=gbs_api,,History,http://books.google.com/books/content?id=qCdrjwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
mdKlDgAAQBAJ,The Greatest Comeback: From Genocide To Football Glory,The Story of Béla Guttman,David Bolchover,Biteback Publishing,2017-05-18,"Shortlisted for the William Hill Sports Book of the Year Award 2017. Longlisted for the Coutts Football Writers Association Award 2018. Before Pep Guardiola and before José Mourinho, there was Béla Guttmann: the first superstar football coach, and the man who paved the way for the celebrated coaches of the modern age. More extraordinarily still, Guttmann was a Holocaust survivor. Having narrowly dodged death by hiding for months in an attic near Budapest as thousands of fellow Jews in the neighbourhood were dragged off to be murdered, Guttmann later escaped from a slave labour camp. He was one of the lucky ones. His father, sister and wider family perished at the hands of the Nazis. But by 1961, as coach of Benfica, he had lifted one of football's greatest prizes: the European Cup a feat he repeated the following year. Rising from the death pits of Europe to become its champion in just over sixteen years, Guttmann performed the single greatest comeback in football history. This remarkable story spans two visions of twentieth-century Europe: a continent ruptured by barbarism and genocide, yet lit up by exhilarating encounters in magnificent cities, where great players would strive to win football s holy grail. With dark forces rising once again, the story of Béla Guttmann s life asks the question: which vision of Europe will triumph in our times?",247.0,History,en,,,http://books.google.com.br/books?id=mdKlDgAAQBAJ&printsec=frontcover&dq=subject:History&hl=&as_pt=BOOKS&cd=50&source=gbs_api,https://play.google.com/store/books/details?id=mdKlDgAAQBAJ&rdid=book-mdKlDgAAQBAJ&rdot=1&source=gbs_api,History,http://books.google.com/books/content?id=mdKlDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
qy7kHYbrLJsC,Chinese Among Others,Emigration in Modern Times,Philip A. Kuhn,Bloomsbury Publishing PLC,2008-03-27,"In this book, distinguished historian Philip A. Kuhn tells the remarkable five-century story of Chinese emigration as an integral part of China's modern history. Although emigration has a much longer past, its ""modern"" phase dates from the sixteenth century, when European colonialists began to collaborate with Chinese emigrants to develop a worldwide trading system. The author explores both internal and external migration, complementary parts of a far-reaching process of adaptation that enabled Chinese families to deal with their changing social environments. Skills and institutions developed in the course of internal migration were creatively modified to serve the needs of emigrants in foreign lands. As emigrants, Chinese inevitably found themselves ""among others."" The various human ecologies in which they lived have faced Chinese settlers with a diversity of challenges and opportunities in the colonial and postcolonial states of Southeast Asia, in the settler societies of the Americas and Australasia, and in Europe. Kuhn traces their experiences worldwide alongside those of the ""others"" among whom they settled: the colonial elites, indigenous peoples, and rival immigrant groups that have profited from their Chinese minorities but also have envied, feared, and sometimes persecuted them. A rich selection of primary sources allows these protagonists a personal voice to express their hopes, sorrows, and worldviews. The post-Mao era offers emigrants new opportunities to leverage their expatriate status to do business with a Chinese nation eager for their investments, donations, and technologies. The resulting ""new migration,"" the author argues, is but the latest phase of a centuries-old process by which Chinese have sought livelihoods away from home.",453.0,History,en,,,http://books.google.com.br/books?id=qy7kHYbrLJsC&printsec=frontcover&dq=subject:History&hl=&as_pt=BOOKS&cd=81&source=gbs_api,https://play.google.com/store/books/details?id=qy7kHYbrLJsC&rdid=book-qy7kHYbrLJsC&rdot=1&source=gbs_api,History,http://books.google.com/books/content?id=qy7kHYbrLJsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2eAVjfnn0SYC,Representing the Troubles in Irish Short Fiction,,Michael L. Storey,CUA Press,2004-05,"Representing the Troubles in Irish Short Fiction offers a comprehensive examination of Irish short stories written over the last eighty years that have treated the Troubles, Ireland's intractable conflict that arose out of its relationship to England.",257.0,Drama,en,,,http://books.google.com.br/books?id=2eAVjfnn0SYC&printsec=frontcover&dq=subject:History&hl=&as_pt=BOOKS&cd=82&source=gbs_api,,History,http://books.google.com/books/content?id=2eAVjfnn0SYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
9oAZEyiyvT0C,"Temples, Tombs, & Hieroglyphs",A Popular History of Ancient Egypt,Barbara Mertz,Harper Collins,2009-03-17,"World-renowned Egyptologist Barbara Mertz explores the reality behind the bestselling fiction she writes (as Elizabeth Peters) and casts a dazzling light on a remarkable civilization. Afascinating chronicle of an extraordinary people—from the first Stone Age settlements through the reign of Cleopatra and the Roman invasions—Temples, Tombs, and Hieroglyphs brings ancient Egypt to life as never before. Lavishly illustrated with pictures, maps, and photographs, it offers tantalizing glimpses into Egyptian society; amazing stories of the pharaohs and the rise and fall of great dynasties; a sampling of culture, religion, and folklore; stories of explorers, scientists, and scoundrels who sought to unravel or exploit the ageless mysteries; and new insights into the architectural wonders that were raised along the banks of the Nile.",354.0,History,en,,,http://books.google.com.br/books?id=9oAZEyiyvT0C&printsec=frontcover&dq=subject:History&hl=&as_pt=BOOKS&cd=83&source=gbs_api,https://play.google.com/store/books/details?id=9oAZEyiyvT0C&rdid=book-9oAZEyiyvT0C&rdot=1&source=gbs_api,History,http://books.google.com/books/content?id=9oAZEyiyvT0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
ktdrf310GdgC,Introduction to Global Military History,1775 to the Present Day,Jeremy Black,Routledge,2006-09-27,"Completely unique in its global scope, this major text does what no other book in the field does: provides students with an excellent account of modern military history with analysis of strategy, as well as tactical and operational developments in the field of war. Carefully written by a highly renowned author, this book has been widely praised by American and UK reviewers for its astonishing grasp of detail and its encyclopedic knowledge. Arranged chronologically, it spans the American War of Independence, through the French Revolution, right up to the latest conflicts in the 2000s. Specially designed to be user-friendly, Introduction to Global Military History offers: chapter introductions and conclusions to assist study and revision ‘voices of war’ – sourced extracts from the field of war case studies in each chapter to support the narrative and provoke discussion vivid engravings, plans, paintings, and photos to bring the conflicts alive a twelve page colour map section plus twenty-one other integrated maps annotated references from the latest publications in the field. Jeremy Black covers all aspects of military conflict, masterfully combining the study of tactics and war strategy with the social, cultural and political consequences of war.",522.0,History,en,,,http://books.google.com.br/books?id=ktdrf310GdgC&printsec=frontcover&dq=subject:History&hl=&as_pt=BOOKS&cd=84&source=gbs_api,https://play.google.com/store/books/details?id=ktdrf310GdgC&rdid=book-ktdrf310GdgC&rdot=1&source=gbs_api,History,http://books.google.com/books/content?id=ktdrf310GdgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
jkxevwEACAAJ,The History of Animals,,Aristotle,Createspace Independent Pub,2014-06-16,"Aristotle is best known along with Plato and Socrates as a philosopher responsible for the establishment of Western philosophy as it exists today, but his interests were varied far beyond philosophy. In The History of Animals, Aristotle wrote what can be considered an ancient form of zoology, discussing the natural history of other creatures. It's a massive tome that helped serve as a base of knowledge for animals in the West moving forward.",286.0,History,en,,,http://books.google.com.br/books?id=jkxevwEACAAJ&dq=subject:History&hl=&as_pt=BOOKS&cd=85&source=gbs_api,,History,http://books.google.com/books/content?id=jkxevwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
HHIijwEACAAJ,Around the World in Eighty Days,,Jules Verne,Palala Press,2015-11-17,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",448.0,,en,,,http://books.google.com.br/books?id=HHIijwEACAAJ&dq=subject:History&hl=&as_pt=BOOKS&cd=86&source=gbs_api,,History,http://books.google.com/books/content?id=HHIijwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
TfoDAQAAQBAJ,A History Of Persia (Volume 2),,Sir Percy Sykes,Routledge,2013-09-27,"This is a facsimile of a classic history first published by Macmillan in 1915 and issued in two further editions by Routledge and Kegan Paul. Sir Percy Sykes was an explorer, consul, soldier and a spy who lived and travelled in Persia over a period of twenty-five years. This two-volume collection provides a comprehensive history of Persia from Alexander the Great, through British, French and Russian colonialism, to the early twentieth century oil industry. With a new introduction by Sykes' biographer, Antony Wynn, this comprehensive history provides essential background reading to students and academics of Persia.",672.0,Political Science,en,,,http://books.google.com.br/books?id=TfoDAQAAQBAJ&printsec=frontcover&dq=subject:History&hl=&as_pt=BOOKS&cd=87&source=gbs_api,https://play.google.com/store/books/details?id=TfoDAQAAQBAJ&rdid=book-TfoDAQAAQBAJ&rdot=1&source=gbs_api,History,http://books.google.com/books/content?id=TfoDAQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
7NWLzwEACAAJ,The Civilisation of the Period of the Renaissance in Italy,,"Jacob Burckhardt, Samuel George Chetwynd Middlemore",Legare Street Press,2022-10-27,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work is in the ""public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",0.0,History,en,,,http://books.google.com.br/books?id=7NWLzwEACAAJ&dq=subject:History&hl=&as_pt=BOOKS&cd=88&source=gbs_api,,History,http://books.google.com/books/content?id=7NWLzwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
urr8QQAACAAJ,Sport in Ancient Times,,Nigel B. Crowther,,2010,"A lively survey encompassing the Orient, the Americas, and the classical world From the Olympic Games of Greece to the gladiatorial contests of Rome, sport in the ancient world was fiercely competitive and included a wider range of physical contests than we moderns might suspect. The early Chinese played forms of polo and golf, while half a world away, Hohokam and Maya Indians enjoyed team ball games. Nigel Crowther, a leading authority on classical Greek sport, here casts his net over the entire ancient world to reveal the variety, and often the intensity, of sport in earlier times, from 3000 b.c.e. to the Middle Ages. Taking in twenty premodern societies on five continents--with particular emphasis on ancient Greece and Rome and the Byzantine Empire--he traces connections to modern sporting attitudes, practices, and institutions as he describes how athletics figured in cultural arenas that extended beyond physical prowess to ritual, social status, military associations, and politics. Crowther takes us back to the birth of sumo wrestling in Japan and describes the sports of the Sumerians and Hittites. He documents bull leaping and boxing as recorded on pottery in Crete, as well as running and archery as practiced by the pharaohs in Egypt. He shows the significance of the early Olympic Games, describes the Romans' use of gladiatorial contests for political ends, and analyzes the influence of Byzantine chariot racing on society. He also notes the changing role of women in ancient sports--from their prominence in Egyptian contests, to the mythological Atalanta, to female Roman gladiators. As informative as it is entertaining, Sport in Ancient Times opens new vistas for general readers, students, and sport historians. It offers a broad look at ancient sport and will enrich readers' appreciation of games they enjoy today.",0.0,Sports,en,,,http://books.google.com.br/books?id=urr8QQAACAAJ&dq=subject:History&hl=&as_pt=BOOKS&cd=89&source=gbs_api,,History,http://books.google.com/books/content?id=urr8QQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
RePKvQEACAAJ,Elements of Hindu Iconography,,T a Gopinatha Rao,Franklin Classics,2018-10-14,"This work has been selected by scholars as being culturally important and is part of the knowledge base of civilization as we know it. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. To ensure a quality reading experience, this work has been proofread and republished using a format that seamlessly blends the original graphical elements with text in an easy-to-read typeface. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",748.0,,en,,,http://books.google.com.br/books?id=RePKvQEACAAJ&dq=subject:History&hl=&as_pt=BOOKS&cd=90&source=gbs_api,,History,http://books.google.com/books/content?id=RePKvQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
0t0nmQEACAAJ,Seven Years in Tibet,,Heinrich Harrer,Tarcher,2009-08,"In this vivid memoir, Heinrich Harrer recounts his adventures as one of the first Europeans ever to enter Tibet.",330.0,Biography & Autobiography,en,,,http://books.google.com.br/books?id=0t0nmQEACAAJ&dq=subject:History&hl=&as_pt=BOOKS&cd=121&source=gbs_api,,History,http://books.google.com/books/content?id=0t0nmQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
WVI_rgEACAAJ,Hannibal,"A History of the Art of War Among the Carthaginians and Romans Down to the Battle of Pydna, 168 B.C., with a Detailed Account of the Second Punic War ... - War College Series",Theodore Ayrault Dodge,War College Series,2015-02-24,"This is a curated and comprehensive collection of the most important works covering matters related to national security, diplomacy, defense, war, strategy, and tactics. The collection spans centuries of thought and experience, and includes the latest analysis of international threats, both conventional and asymmetric. It also includes riveting first person accounts of historic battles and wars.Some of the books in this Series are reproductions of historical works preserved by some of the leading libraries in the world. As with any reproduction of a historical artifact, some of these books contain missing or blurred pages, poor pictures, errant marks, etc. We believe these books are essential to this collection and the study of war, and have therefore brought them back into print, despite these imperfections.We hope you enjoy the unmatched breadth and depth of this collection, from the historical to the just-published works.",726.0,,en,,,http://books.google.com.br/books?id=WVI_rgEACAAJ&dq=subject:History&hl=&as_pt=BOOKS&cd=122&source=gbs_api,,History,http://books.google.com/books/content?id=WVI_rgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
fH5lAAAAMAAJ,"Writers, Readers, and Reputations",Literary Life in Britain 1870-1918,Philip Waller,OUP Oxford,2006-04-27,"Writers, Readers, and Reputations explores the literary world in which the modern best-seller first emerged. Writers were promoted as stars and celebrities, advertising both products and themselves. Philip Waller's detailed and entertaining study is a collective biography of literary figures, some forgotten, some enduring, over half a century. - ;Charles Dickens died in 1870, the same year in which universal elementary education was introduced. During the following generation a mass reading public emerged, and the term 'best-seller' was coined. In new and cheap editions Dickens's stories sold hugely, but these were progressively outstripped in quantity by the likes of Hall Caine and Marie Corelli, Charles Garvice and Nat Gould. Who has now heard of these writers? Yet Hall Caine, for one, boasted of having made more money from his pen than any previous author. This book presents a panoramic view of literary life in Britain over half a century from 1870 to 1914, teasing out authors' relations with the reading public and tracing how reputations were made and unmade. It surveys readers' habits, the book trade, popular literary magazines and the role of reviewers, and examines the construction of a classical canon by critics concerned about the supposed corruption of popular taste. Certain writers were elevated as national heroes, yet Britain drew its writers from abroad as well as from home. Authors became stars and celebrities, and a literary tourism grew around their haunts. They advertised products from cigarettes to toothpaste; they were fashion-conscious and promoted themselves via profiles, interviews, and carefully posed photographs; they went on lecture tours to America; and their names were pushed by a new professional breed: the literary agent. Some angled for knighthoods, even peerages, and cut a figure in high society and London clubland. The debated public issues of the day and campaigned on all manner of things from questions of faith and women's rights to censorship and conscription. During the Great War they penned propaganda. Meanwhile the cinema was developing to challenge the supremacy of the written word over the imagination. Authors took to that too, as an opportunity for new adventure. Writers, Readers, and Reputations is richly entertaining and informative, amounting to a collective biography of a generation of writers and their world. - ;the remarkable thing about this extraordinary book is that throughout its thousand pages it remains consistently readable, enjoyable, and informative... Waller's style is addictive and discursive...and the reader will gain greatly the more that she or he reads - William Whyte, EHR, cxxi 494;The richness of Waller's study is beyond question. This is an extraordinary mine of fact, detail, quotation, anecdote and reminiscence. Every reader, no matter how familiar with the literature of the period, will learn from the range of its excavations. - Dinah Birch, TLS;[A] serious achievement...It will prove an invaluable resource to scholars seeking a reference tool on a huge range of topics, not only because of its coverage, but because Waller produces the kind of scholarship on which one can rely. - The Cambridge Quarterly, Vol. 36, No. 1;...a magnificent study, one that will be recognised as a defining literary history of the period. - The Review of English Studies, Vol58, No. 233",1208.0,Fiction,en,,,http://books.google.com.br/books?id=fH5lAAAAMAAJ&dq=subject:History&hl=&as_pt=BOOKS&cd=123&source=gbs_api,,History,http://books.google.com/books/content?id=fH5lAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
H5pyUIY4THYC,A Concise History of Greece,,Richard Clogg,Cambridge University Press,2002-06-20,"This book provides a concise, illustrated introduction to the history of modern Greece, with a new final chapter about Greek history and politics to the present day. 56 illustrations. 10 maps.",316.0,History,en,3.0,4.0,http://books.google.com.br/books?id=H5pyUIY4THYC&printsec=frontcover&dq=subject:History&hl=&as_pt=BOOKS&cd=124&source=gbs_api,,History,http://books.google.com/books/content?id=H5pyUIY4THYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
sMEpJrKBqkAC,"Japanese Army Stragglers and Memories of the War in Japan, 1950-75",,Beatrice Trefalt,Routledge,2013-01-11,"This book charts comprehensively the various discoveries in Southeast Asia and the Pacific of Japanese soldiers still fighting the Second World War many years after it had ended. It explores their return to Japan and their impact on the Japanese people, revealing changing attitudes to war veterans and war casualties' families, as well as the ambivalence of memories of the war.",289.0,Political Science,en,,,http://books.google.com.br/books?id=sMEpJrKBqkAC&printsec=frontcover&dq=subject:History&hl=&as_pt=BOOKS&cd=125&source=gbs_api,https://play.google.com/store/books/details?id=sMEpJrKBqkAC&rdid=book-sMEpJrKBqkAC&rdot=1&source=gbs_api,History,http://books.google.com/books/content?id=sMEpJrKBqkAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
